Date,Open,High,Low,Close,Adj Close,Volume
2021-12-27,35954.48046875,36306.609375,35954.48046875,36302.37890625,36302.37890625,244350000
2021-12-28,36302.98828125,36527.26171875,36302.98828125,36398.2109375,36398.2109375,239090000
2021-12-29,36421.140625,36571.55078125,36396.19140625,36488.62890625,36488.62890625,213480000
2021-12-30,36522.48046875,36679.44140625,36372.12890625,36398.078125,36398.078125,205620000
2021-12-31,36385.8515625,36484.94140625,36303.96875,36338.30078125,36338.30078125,213200000
2022-01-03,36321.58984375,36595.8203125,36246.44921875,36585.05859375,36585.05859375,347930000
2022-01-04,36636.0,36934.83984375,36636.0,36799.6484375,36799.6484375,435080000
2022-01-05,36722.6015625,36952.6484375,36400.390625,36407.109375,36407.109375,462040000
2022-01-06,36409.05078125,36464.19140625,36200.6796875,36236.46875,36236.46875,385890000
2022-01-07,36249.58984375,36382.83984375,36111.53125,36231.66015625,36231.66015625,356110000
2022-01-10,36175.2109375,36175.2109375,35639.91015625,36068.87109375,36068.87109375,430680000
2022-01-11,36058.8515625,36271.46875,35769.37890625,36252.01953125,36252.01953125,356850000
2022-01-12,36336.16015625,36453.48828125,36168.1484375,36290.3203125,36290.3203125,310180000
2022-01-13,36312.48828125,36513.87890625,36044.21875,36113.62109375,36113.62109375,343640000
2022-01-14,35996.4296875,35996.4296875,35641.48828125,35911.80859375,35911.80859375,389200000
2022-01-18,35661.76171875,35661.76171875,35262.01953125,35368.46875,35368.46875,427260000
2022-01-19,35412.30078125,35547.828125,35015.48828125,35028.6484375,35028.6484375,393080000
2022-01-20,35102.66015625,35490.19921875,34670.12109375,34715.390625,34715.390625,369070000
2022-01-21,34701.69140625,34896.671875,34229.55078125,34265.37109375,34265.37109375,523880000
2022-01-24,34070.609375,34420.98828125,33150.328125,34364.5,34364.5,664010000
2022-01-25,34186.640625,34591.0390625,33545.51953125,34297.73046875,34297.73046875,506430000
2022-01-26,34520.8203125,34815.671875,33876.48046875,34168.08984375,34168.08984375,546330000
2022-01-27,34261.75,34773.3203125,34007.78125,34160.78125,34160.78125,527780000
2022-01-28,34135.23828125,34731.76953125,33807.51171875,34725.46875,34725.46875,568440000
2022-01-31,34691.171875,35148.140625,34496.1015625,35131.859375,35131.859375,468070000
2022-02-01,35151.46875,35441.08984375,34977.94921875,35405.23828125,35405.23828125,386080000
2022-02-02,35378.19140625,35679.19921875,35290.12109375,35629.328125,35629.328125,359540000
2022-02-03,35520.078125,35535.94140625,35071.05859375,35111.16015625,35111.16015625,381020000
2022-02-04,35095.73828125,35333.55078125,34799.078125,35089.73828125,35089.73828125,349880000
2022-02-07,35108.37890625,35325.01171875,34993.98046875,35091.12890625,35091.12890625,328910000
2022-02-08,35160.6796875,35544.890625,35090.421875,35462.78125,35462.78125,319190000
2022-02-09,35614.8984375,35824.28125,35614.8984375,35768.05859375,35768.05859375,333610000
2022-02-10,35630.80859375,35800.23828125,35100.71875,35241.58984375,35241.58984375,411620000
2022-02-11,35267.890625,35431.1484375,34620.51953125,34738.05859375,34738.05859375,398860000
2022-02-14,34694.5,34744.55859375,34304.28125,34566.171875,34566.171875,370320000
2022-02-15,34686.19140625,35047.7890625,34686.19140625,34988.83984375,34988.83984375,305670000
2022-02-16,34951.828125,35042.08984375,34642.640625,34934.26953125,34934.26953125,294410000
2022-02-17,34858.46875,34858.46875,34246.23046875,34312.03125,34312.03125,348720000
2022-02-18,34310.44921875,34423.578125,33976.1796875,34079.1796875,34079.1796875,414080000
2022-02-22,33974.08984375,34024.73828125,33364.2890625,33596.609375,33596.609375,432090000
2022-02-23,33680.96875,33832.58984375,33084.8984375,33131.76171875,33131.76171875,370600000
2022-02-24,32830.328125,33269.33984375,32272.640625,33223.828125,33223.828125,590850000
2022-02-25,33277.21875,34095.73828125,33277.21875,34058.75,34058.75,417630000
2022-02-28,33870.62109375,33963.62890625,33469.30859375,33892.6015625,33892.6015625,443460000
2022-03-01,33813.48046875,33870.140625,33107.671875,33294.94921875,33294.94921875,438730000
2022-03-02,33379.51171875,34013.671875,33379.51171875,33891.3515625,33891.3515625,400920000
2022-03-03,33972.87109375,34179.0703125,33641.53125,33794.66015625,33794.66015625,369740000
2022-03-04,33655.4296875,33655.4296875,33254.12109375,33614.80078125,33614.80078125,408390000
