date,Cash,Qty,PurchasePrice,CurrentPrice,CurrentEquityTotal,PortfolioTotal,PercentageChange
2020-01-03,10000,0,0,0,0,10000,0
2020-01-06,10000,0,0,208.42999267578125,0.0,10000.0,0.0
2020-01-07,10000,0,0,203.92999267578125,0.0,10000.0,0.0
2020-01-08,10000,0,0,204.3300018310547,0.0,10000.0,0.0
2020-01-09,10000,0,0,206.14999389648438,0.0,10000.0,0.0
2020-01-10,10000,0,0,207.66000366210938,0.0,10000.0,0.0
2020-01-13,10000,0,0,209.58999633789062,0.0,10000.0,0.0
2020-01-14,10000,0,0,207.72999572753906,0.0,10000.0,0.0
2020-01-15,10000,0,0,207.25999450683594,0.0,10000.0,0.0
2020-01-16,10000,0,0,208.97999572753906,0.0,10000.0,0.0
2020-01-17,10000,0,0,209.1999969482422,0.0,10000.0,0.0
2020-01-21,10000,0,0,209.14999389648438,0.0,10000.0,0.0
2020-01-22,10000,0,0,209.41000366210938,0.0,10000.0,0.0
2020-01-23,10000,0,0,210.67999267578125,0.0,10000.0,0.0
2020-01-24,10000,0,0,208.57000732421875,0.0,10000.0,0.0
2020-01-27,10000,0,0,206.5500030517578,0.0,10000.0,0.0
2020-01-28,10000,0,0,210.24000549316406,0.0,10000.0,0.0
2020-01-29,10000,0,0,207.9600067138672,0.0,10000.0,0.0
2020-01-30,10000,0,0,208.3699951171875,0.0,10000.0,0.0
2020-01-31,10000,0,0,205.2100067138672,0.0,10000.0,0.0
2020-02-03,10000,0,0,207.8000030517578,0.0,10000.0,0.0
2020-02-04,10000,0,0,212.52999877929688,0.0,10000.0,0.0
2020-02-05,10000,0,0,212.22000122070312,0.0,10000.0,0.0
2020-02-06,0.0,46.948356807511736,213.0,214.16000366210938,10054.46026582673,10054.46026582673,0.5446026582673039
2020-02-07,0.0,46.948356807511736,213.0,211.5800018310547,9933.333419298342,9933.333419298342,-0.6666658070165795
2020-02-10,0.0,46.948356807511736,213.0,212.5500030517578,9978.873382711634,9978.873382711634,-0.21126617288366104
2020-02-11,0.0,46.948356807511736,213.0,212.13999938964844,9959.624384490537,9959.624384490537,-0.4037561550946338
2020-02-12,0.0,46.948356807511736,213.0,211.99000549316406,9952.58241751944,9952.58241751944,-0.47417582480560666
2020-02-13,0.0,46.948356807511736,213.0,212.39999389648438,9971.830699365464,9971.830699365464,-0.2816930063453583
2020-02-14,0.0,46.948356807511736,213.0,212.3699951171875,9970.422305971244,9970.422305971244,-0.29577694028756013
2020-02-18,0.0,46.948356807511736,213.0,213.75999450683594,10035.680493278682,10035.680493278682,0.3568049327868175
